TARGETID,K_R,K_R_ERR,Z
39627899564720976,,inf,2.300327638535393
39627911619154106,,inf,2.669138861406544
39627899581499124,,inf,2.4757382321094927
39627917646366763,,inf,2.5397913633277183
39627905600328203,,inf,2.363155402583124
39627905600327819,,inf,2.3068983064495874
39627965759228371,,inf,2.340710741676432
39627965767616983,,inf,2.311808459334423
39627959765570063,,inf,2.4016346687722074
39627965767617266,,inf,2.4730898931915646
39628037385356733,,inf,2.314232028330485
39628031442027797,,inf,2.3206346048287467
39628031421059665,,inf,2.4293260624214628
39628031425250327,,inf,2.4097796388710666
39628037376968063,,inf,2.5434845482954325
39628031429444484,,inf,2.607960426689591
39628043328686152,,inf,2.6179385861080666
39628031425252019,,inf,2.5778574838152117
39628031425250924,,inf,2.737451012065531
39628031433639698,,inf,2.6066976141136053
39628031433641099,,inf,2.3469804754295738
39628031429443686,,inf,2.659128734276322
39628043324495563,,inf,2.578024827891379
39628037372774008,,inf,2.344950751996134
39628049301377737,,inf,2.4611068749594947
39627815003358194,,inf,2.67945304381161
39627803146066326,,inf,2.4764967444262465
39628187314947031,,inf,2.6948851555223596
39628164124642274,,inf,2.5271751074445055
39628140787531837,,inf,2.36351532481737
39628140787535402,,inf,2.3618916037946347
39628146634391903,,inf,2.332885743612442
39628140787533681,,inf,2.388956196181747
39628146626007020,,inf,2.685644204937205
39628140787535499,,inf,2.6644972617705043
39628093740027816,,inf,2.6885123272075755
39628093731639619,,inf,2.408077329627284
39628093740025099,,inf,2.365822064631486
39628093735829644,,inf,2.4550093901834282
39628087838638844,,inf,2.4760689706319603
39628105517632574,,inf,2.6430050803394
39628099628828467,,inf,2.331282967688989
39628093744219052,,inf,2.3367423151403868
39628099628829523,,inf,2.4692097601259047
39628099628828434,,inf,2.7921006589795643
39628093807135079,,inf,2.3660249455934412
39628028506015701,,inf,2.6912062541817763
39628117395901228,,inf,2.4750520042322703
39628111523877820,,inf,2.5009424928603674
39628076128144936,,inf,2.732594458269717
39628129160923348,,inf,2.445083138633194
39628129160923073,,inf,2.405801503524616
39628140867226183,,inf,2.7240672180859966
39628135016171319,,inf,2.4452073039033606
39628140867225383,,inf,2.7338056196768026
39628129169312131,,inf,2.6922054292477857
39628140871421132,,inf,2.7679980372586277
39628129165121797,,inf,2.437186050123861
39628129152537558,,inf,2.3827465303157744
39628129152537846,,inf,2.3785968072852546
39628135020370714,,inf,2.4816431505493584
39628129156729441,,inf,2.6731339066832787
39628140871418888,,inf,2.3288899921857116
39628140871418253,,inf,2.7242011784230904
39628135020367621,,inf,2.6667377430120434
39628135020367985,,inf,2.475705393771581
39628140867228679,,inf,2.7316942286608406
39628135011977144,,inf,2.5491210794241517
39628135011980730,,inf,2.693736595750364
39628070268702401,,inf,2.4815207912142707
39628046243729861,,inf,2.6084836886483047
39628040308789880,,inf,2.339096540122866
39628040308786447,,inf,2.428890217289554
39628046239534444,,inf,2.643817043497242
39628058109414512,,inf,2.6617913145811305
39628058109413736,,inf,2.6605368068833393
